team_home,team_away,outcome,home_goals_avg,away_goals_avg,home_wins_pct,away_wins_pct
KRC Genk,Beerschot AC,1,1.9339622641509433,0.8157894736842105,0.5754716981132075,0.13157894736842105
SV Zulte-Waregem,Sporting Lokeren,1,1.6603773584905661,1.2264150943396226,0.42452830188679247,0.3113207547169811
KSV Cercle Brugge,RSC Anderlecht,0,1.3076923076923077,1.6981132075471699,0.4175824175824176,0.5377358490566038
KAA Gent,RAEC Mons,2,1.9541284403669725,1.127659574468085,0.5779816513761468,0.19148936170212766
FCV Dender EH,Standard de Liège,0,1.2352941176470589,1.3396226415094339,0.29411764705882354,0.37735849056603776
KV Mechelen,Club Brugge KV,1,1.528301886792453,1.7547169811320755,0.4716981132075472,0.4528301886792453
KSV Roeselare,KV Kortrijk,1,1.1612903225806452,0.9811320754716981,0.25806451612903225,0.24528301886792453
Tubize,Royal Excel Mouscron,0,1.2941176470588236,0.9361702127659575,0.35294117647058826,0.1702127659574468
KVC Westerlo,Sporting Charleroi,2,1.3626373626373627,0.967032967032967,0.38461538461538464,0.21978021978021978
Club Brugge KV,KV Kortrijk,2,2.2169811320754715,0.9811320754716981,0.7075471698113207,0.24528301886792453
Standard de Liège,Sporting Charleroi,0,1.8773584905660377,0.967032967032967,0.6226415094339622,0.21978021978021978
SV Zulte-Waregem,KAA Gent,0,1.6603773584905661,1.6238532110091743,0.42452830188679247,0.42201834862385323
Sporting Lokeren,RAEC Mons,1,1.4056603773584906,1.127659574468085,0.3867924528301887,0.19148936170212766
FCV Dender EH,KVC Westerlo,1,1.2352941176470589,1.021978021978022,0.29411764705882354,0.2087912087912088
KV Mechelen,KSV Roeselare,0,1.528301886792453,0.8387096774193549,0.4716981132075472,0.12903225806451613
Royal Excel Mouscron,KSV Cercle Brugge,0,1.4680851063829787,1.032967032967033,0.3829787234042553,0.21978021978021978
Tubize,KRC Genk,0,1.2941176470588236,1.349056603773585,0.35294117647058826,0.33962264150943394
Beerschot AC,RSC Anderlecht,0,1.4736842105263157,1.6981132075471699,0.39473684210526316,0.5377358490566038
RSC Anderlecht,Sporting Lokeren,0,2.330188679245283,1.2264150943396226,0.7452830188679245,0.3113207547169811
RAEC Mons,Royal Excel Mouscron,1,1.6170212765957446,0.9361702127659575,0.3404255319148936,0.1702127659574468
Sporting Charleroi,Club Brugge KV,1,1.2417582417582418,1.7547169811320755,0.38461538461538464,0.4528301886792453
KSV Cercle Brugge,SV Zulte-Waregem,2,1.3076923076923077,1.2264150943396226,0.4175824175824176,0.3113207547169811
KAA Gent,FCV Dender EH,1,1.9541284403669725,1.3529411764705883,0.5779816513761468,0.23529411764705882
KSV Roeselare,Tubize,0,1.1612903225806452,0.7647058823529411,0.25806451612903225,0.058823529411764705
KV Kortrijk,KV Mechelen,1,1.5377358490566038,1.1603773584905661,0.5283018867924528,0.27358490566037735
KVC Westerlo,KRC Genk,2,1.3626373626373627,1.349056603773585,0.38461538461538464,0.33962264150943394
Beerschot AC,Standard de Liège,0,1.4736842105263157,1.3396226415094339,0.39473684210526316,0.37735849056603776
Club Brugge KV,RSC Anderlecht,1,2.2169811320754715,1.6981132075471699,0.7075471698113207,0.5377358490566038
KRC Genk,KSV Roeselare,1,1.9339622641509433,0.8387096774193549,0.5754716981132075,0.12903225806451613
SV Zulte-Waregem,Beerschot AC,1,1.6603773584905661,0.8157894736842105,0.42452830188679247,0.13157894736842105
Sporting Lokeren,Standard de Liège,1,1.4056603773584906,1.3396226415094339,0.3867924528301887,0.37735849056603776
FCV Dender EH,KV Kortrijk,2,1.2352941176470589,0.9811320754716981,0.29411764705882354,0.24528301886792453
KV Mechelen,RAEC Mons,1,1.528301886792453,1.127659574468085,0.4716981132075472,0.19148936170212766
Royal Excel Mouscron,Sporting Charleroi,2,1.4680851063829787,0.967032967032967,0.3829787234042553,0.21978021978021978
Tubize,KSV Cercle Brugge,2,1.2941176470588236,1.032967032967033,0.35294117647058826,0.21978021978021978
KVC Westerlo,KAA Gent,2,1.3626373626373627,1.6238532110091743,0.38461538461538464,0.42201834862385323
RSC Anderlecht,KVC Westerlo,2,2.330188679245283,1.021978021978022,0.7452830188679245,0.2087912087912088
Standard de Liège,Royal Excel Mouscron,2,1.8773584905660377,0.9361702127659575,0.6226415094339622,0.1702127659574468
RAEC Mons,Club Brugge KV,0,1.6170212765957446,1.7547169811320755,0.3404255319148936,0.4528301886792453
Sporting Charleroi,Tubize,2,1.2417582417582418,0.7647058823529411,0.38461538461538464,0.058823529411764705
KSV Cercle Brugge,KV Mechelen,2,1.3076923076923077,1.1603773584905661,0.4175824175824176,0.27358490566037735
KAA Gent,KRC Genk,0,1.9541284403669725,1.349056603773585,0.5779816513761468,0.33962264150943394
KSV Roeselare,FCV Dender EH,1,1.1612903225806452,1.3529411764705883,0.25806451612903225,0.23529411764705882
KV Kortrijk,SV Zulte-Waregem,2,1.5377358490566038,1.2264150943396226,0.5283018867924528,0.3113207547169811
Beerschot AC,Sporting Lokeren,0,1.4736842105263157,1.2264150943396226,0.39473684210526316,0.3113207547169811
Club Brugge KV,Beerschot AC,2,2.2169811320754715,0.8157894736842105,0.7075471698113207,0.13157894736842105
KRC Genk,KSV Cercle Brugge,2,1.9339622641509433,1.032967032967033,0.5754716981132075,0.21978021978021978
SV Zulte-Waregem,Sporting Charleroi,2,1.6603773584905661,0.967032967032967,0.42452830188679247,0.21978021978021978
KAA Gent,KSV Roeselare,2,1.9541284403669725,0.8387096774193549,0.5779816513761468,0.12903225806451613
FCV Dender EH,RSC Anderlecht,0,1.2352941176470589,1.6981132075471699,0.29411764705882354,0.5377358490566038
KV Mechelen,Standard de Liège,1,1.528301886792453,1.3396226415094339,0.4716981132075472,0.37735849056603776
Royal Excel Mouscron,Sporting Lokeren,2,1.4680851063829787,1.2264150943396226,0.3829787234042553,0.3113207547169811
Tubize,KV Kortrijk,1,1.2941176470588236,0.9811320754716981,0.35294117647058826,0.24528301886792453
KVC Westerlo,RAEC Mons,2,1.3626373626373627,1.127659574468085,0.38461538461538464,0.19148936170212766
RSC Anderlecht,Tubize,2,2.330188679245283,0.7647058823529411,0.7452830188679245,0.058823529411764705
Standard de Liège,SV Zulte-Waregem,0,1.8773584905660377,1.2264150943396226,0.6226415094339622,0.3113207547169811
RAEC Mons,FCV Dender EH,2,1.6170212765957446,1.3529411764705883,0.3404255319148936,0.23529411764705882
Sporting Charleroi,KV Mechelen,0,1.2417582417582418,1.1603773584905661,0.38461538461538464,0.27358490566037735
KSV Cercle Brugge,KAA Gent,2,1.3076923076923077,1.6238532110091743,0.4175824175824176,0.42201834862385323
Sporting Lokeren,Club Brugge KV,2,1.4056603773584906,1.7547169811320755,0.3867924528301887,0.4528301886792453
KSV Roeselare,KVC Westerlo,2,1.1612903225806452,1.021978021978022,0.25806451612903225,0.2087912087912088
KV Kortrijk,KRC Genk,2,1.5377358490566038,1.349056603773585,0.5283018867924528,0.33962264150943394
Beerschot AC,Royal Excel Mouscron,2,1.4736842105263157,0.9361702127659575,0.39473684210526316,0.1702127659574468
Club Brugge KV,Standard de Liège,0,2.2169811320754715,1.3396226415094339,0.7075471698113207,0.37735849056603776
KRC Genk,Sporting Charleroi,2,1.9339622641509433,0.967032967032967,0.5754716981132075,0.21978021978021978
SV Zulte-Waregem,Royal Excel Mouscron,2,1.6603773584905661,0.9361702127659575,0.42452830188679247,0.1702127659574468
KAA Gent,KV Kortrijk,1,1.9541284403669725,0.9811320754716981,0.5779816513761468,0.24528301886792453
FCV Dender EH,Sporting Lokeren,1,1.2352941176470589,1.2264150943396226,0.29411764705882354,0.3113207547169811
KV Mechelen,Beerschot AC,2,1.528301886792453,0.8157894736842105,0.4716981132075472,0.13157894736842105
KSV Roeselare,RSC Anderlecht,0,1.1612903225806452,1.6981132075471699,0.25806451612903225,0.5377358490566038
Tubize,RAEC Mons,2,1.2941176470588236,1.127659574468085,0.35294117647058826,0.19148936170212766
KVC Westerlo,KSV Cercle Brugge,0,1.3626373626373627,1.032967032967033,0.38461538461538464,0.21978021978021978
RSC Anderlecht,KRC Genk,2,2.330188679245283,1.349056603773585,0.7452830188679245,0.33962264150943394
Standard de Liège,KAA Gent,2,1.8773584905660377,1.6238532110091743,0.6226415094339622,0.42201834862385323
RAEC Mons,SV Zulte-Waregem,1,1.6170212765957446,1.2264150943396226,0.3404255319148936,0.3113207547169811
Sporting Charleroi,FCV Dender EH,2,1.2417582417582418,1.3529411764705883,0.38461538461538464,0.23529411764705882
KSV Cercle Brugge,KSV Roeselare,2,1.3076923076923077,0.8387096774193549,0.4175824175824176,0.12903225806451613
Sporting Lokeren,KV Mechelen,1,1.4056603773584906,1.1603773584905661,0.3867924528301887,0.27358490566037735
Royal Excel Mouscron,Club Brugge KV,2,1.4680851063829787,1.7547169811320755,0.3829787234042553,0.4528301886792453
KV Kortrijk,KVC Westerlo,1,1.5377358490566038,1.021978021978022,0.5283018867924528,0.2087912087912088
Beerschot AC,Tubize,2,1.4736842105263157,0.7647058823529411,0.39473684210526316,0.058823529411764705
Beerschot AC,KRC Genk,2,1.4736842105263157,1.349056603773585,0.39473684210526316,0.33962264150943394
Sporting Lokeren,SV Zulte-Waregem,2,1.4056603773584906,1.2264150943396226,0.3867924528301887,0.3113207547169811
RSC Anderlecht,KSV Cercle Brugge,0,2.330188679245283,1.032967032967033,0.7452830188679245,0.21978021978021978
RAEC Mons,KAA Gent,0,1.6170212765957446,1.6238532110091743,0.3404255319148936,0.42201834862385323
Standard de Liège,FCV Dender EH,2,1.8773584905660377,1.3529411764705883,0.6226415094339622,0.23529411764705882
Club Brugge KV,KV Mechelen,2,2.2169811320754715,1.1603773584905661,0.7075471698113207,0.27358490566037735
KV Kortrijk,KSV Roeselare,2,1.5377358490566038,0.8387096774193549,0.5283018867924528,0.12903225806451613
Royal Excel Mouscron,Tubize,1,1.4680851063829787,0.7647058823529411,0.3829787234042553,0.058823529411764705
Sporting Charleroi,KVC Westerlo,0,1.2417582417582418,1.021978021978022,0.38461538461538464,0.2087912087912088
SV Zulte-Waregem,Club Brugge KV,2,1.6603773584905661,1.7547169811320755,0.42452830188679247,0.4528301886792453
KAA Gent,RSC Anderlecht,0,1.9541284403669725,1.6981132075471699,0.5779816513761468,0.5377358490566038
KVC Westerlo,Standard de Liège,0,1.3626373626373627,1.3396226415094339,0.38461538461538464,0.37735849056603776
KRC Genk,RAEC Mons,2,1.9339622641509433,1.127659574468085,0.5754716981132075,0.19148936170212766
KSV Roeselare,Sporting Charleroi,2,1.1612903225806452,0.967032967032967,0.25806451612903225,0.21978021978021978
Tubize,Sporting Lokeren,2,1.2941176470588236,1.2264150943396226,0.35294117647058826,0.3113207547169811
KV Mechelen,Royal Excel Mouscron,1,1.528301886792453,0.9361702127659575,0.4716981132075472,0.1702127659574468
KSV Cercle Brugge,KV Kortrijk,0,1.3076923076923077,0.9811320754716981,0.4175824175824176,0.24528301886792453
FCV Dender EH,Beerschot AC,0,1.2352941176470589,0.8157894736842105,0.29411764705882354,0.13157894736842105
Club Brugge KV,SV Zulte-Waregem,2,2.2169811320754715,1.2264150943396226,0.7075471698113207,0.3113207547169811
RSC Anderlecht,KAA Gent,1,2.330188679245283,1.6238532110091743,0.7452830188679245,0.42201834862385323
Standard de Liège,KVC Westerlo,2,1.8773584905660377,1.021978021978022,0.6226415094339622,0.2087912087912088
RAEC Mons,KRC Genk,2,1.6170212765957446,1.349056603773585,0.3404255319148936,0.33962264150943394
Sporting Charleroi,KSV Roeselare,2,1.2417582417582418,0.8387096774193549,0.38461538461538464,0.12903225806451613
Sporting Lokeren,Tubize,2,1.4056603773584906,0.7647058823529411,0.3867924528301887,0.058823529411764705
Royal Excel Mouscron,KV Mechelen,2,1.4680851063829787,1.1603773584905661,0.3829787234042553,0.27358490566037735
KV Kortrijk,KSV Cercle Brugge,2,1.5377358490566038,1.032967032967033,0.5283018867924528,0.21978021978021978
Beerschot AC,FCV Dender EH,1,1.4736842105263157,1.3529411764705883,0.39473684210526316,0.23529411764705882
KV Kortrijk,RSC Anderlecht,0,1.5377358490566038,1.6981132075471699,0.5283018867924528,0.5377358490566038
Sporting Lokeren,KRC Genk,0,1.4056603773584906,1.349056603773585,0.3867924528301887,0.33962264150943394
RAEC Mons,KSV Cercle Brugge,1,1.6170212765957446,1.032967032967033,0.3404255319148936,0.21978021978021978
Sporting Charleroi,KAA Gent,0,1.2417582417582418,1.6238532110091743,0.38461538461538464,0.42201834862385323
Royal Excel Mouscron,FCV Dender EH,0,1.4680851063829787,1.3529411764705883,0.3829787234042553,0.23529411764705882
SV Zulte-Waregem,KV Mechelen,1,1.6603773584905661,1.1603773584905661,0.42452830188679247,0.27358490566037735
Standard de Liège,KSV Roeselare,2,1.8773584905660377,0.8387096774193549,0.6226415094339622,0.12903225806451613
Club Brugge KV,Tubize,2,2.2169811320754715,0.7647058823529411,0.7075471698113207,0.058823529411764705
Beerschot AC,KVC Westerlo,2,1.4736842105263157,1.021978021978022,0.39473684210526316,0.2087912087912088
FCV Dender EH,Club Brugge KV,0,1.2352941176470589,1.7547169811320755,0.29411764705882354,0.4528301886792453
KV Kortrijk,Standard de Liège,0,1.5377358490566038,1.3396226415094339,0.5283018867924528,0.37735849056603776
RSC Anderlecht,RAEC Mons,2,2.330188679245283,1.127659574468085,0.7452830188679245,0.19148936170212766
KRC Genk,SV Zulte-Waregem,0,1.9339622641509433,1.2264150943396226,0.5754716981132075,0.3113207547169811
KSV Cercle Brugge,Sporting Charleroi,1,1.3076923076923077,0.967032967032967,0.4175824175824176,0.21978021978021978
KVC Westerlo,Sporting Lokeren,2,1.3626373626373627,1.2264150943396226,0.38461538461538464,0.3113207547169811
Tubize,KV Mechelen,0,1.2941176470588236,1.1603773584905661,0.35294117647058826,0.27358490566037735
KAA Gent,Royal Excel Mouscron,2,1.9541284403669725,0.9361702127659575,0.5779816513761468,0.1702127659574468
KSV Roeselare,Beerschot AC,1,1.1612903225806452,0.8157894736842105,0.25806451612903225,0.13157894736842105
Sporting Charleroi,RSC Anderlecht,0,1.2417582417582418,1.6981132075471699,0.38461538461538464,0.5377358490566038
Club Brugge KV,KRC Genk,0,2.2169811320754715,1.349056603773585,0.7075471698113207,0.33962264150943394
Beerschot AC,KSV Cercle Brugge,1,1.4736842105263157,1.032967032967033,0.39473684210526316,0.21978021978021978
KV Mechelen,KAA Gent,1,1.528301886792453,1.6238532110091743,0.4716981132075472,0.42201834862385323
SV Zulte-Waregem,FCV Dender EH,2,1.6603773584905661,1.3529411764705883,0.42452830188679247,0.23529411764705882
Sporting Lokeren,KSV Roeselare,2,1.4056603773584906,0.8387096774193549,0.3867924528301887,0.12903225806451613
RAEC Mons,KV Kortrijk,1,1.6170212765957446,0.9811320754716981,0.3404255319148936,0.24528301886792453
Standard de Liège,Tubize,2,1.8773584905660377,0.7647058823529411,0.6226415094339622,0.058823529411764705
Royal Excel Mouscron,KVC Westerlo,1,1.4680851063829787,1.021978021978022,0.3829787234042553,0.2087912087912088
KVC Westerlo,Club Brugge KV,1,1.3626373626373627,1.7547169811320755,0.38461538461538464,0.4528301886792453
RSC Anderlecht,Standard de Liège,2,2.330188679245283,1.3396226415094339,0.7452830188679245,0.37735849056603776
KSV Roeselare,RAEC Mons,2,1.1612903225806452,1.127659574468085,0.25806451612903225,0.19148936170212766
Tubize,SV Zulte-Waregem,0,1.2941176470588236,1.2264150943396226,0.35294117647058826,0.3113207547169811
KV Kortrijk,Sporting Charleroi,1,1.5377358490566038,0.967032967032967,0.5283018867924528,0.21978021978021978
KSV Cercle Brugge,Sporting Lokeren,1,1.3076923076923077,1.2264150943396226,0.4175824175824176,0.3113207547169811
FCV Dender EH,KV Mechelen,0,1.2352941176470589,1.1603773584905661,0.29411764705882354,0.27358490566037735
KRC Genk,Royal Excel Mouscron,1,1.9339622641509433,0.9361702127659575,0.5754716981132075,0.1702127659574468
KAA Gent,Beerschot AC,0,1.9541284403669725,0.8157894736842105,0.5779816513761468,0.13157894736842105
Royal Excel Mouscron,RSC Anderlecht,1,1.4680851063829787,1.6981132075471699,0.3829787234042553,0.5377358490566038
KV Mechelen,KRC Genk,2,1.528301886792453,1.349056603773585,0.4716981132075472,0.33962264150943394
Sporting Charleroi,RAEC Mons,2,1.2417582417582418,1.127659574468085,0.38461538461538464,0.19148936170212766
Standard de Liège,KSV Cercle Brugge,2,1.8773584905660377,1.032967032967033,0.6226415094339622,0.21978021978021978
Sporting Lokeren,KAA Gent,0,1.4056603773584906,1.6238532110091743,0.3867924528301887,0.42201834862385323
Club Brugge KV,KSV Roeselare,2,2.2169811320754715,0.8387096774193549,0.7075471698113207,0.12903225806451613
Beerschot AC,KV Kortrijk,2,1.4736842105263157,0.9811320754716981,0.39473684210526316,0.24528301886792453
FCV Dender EH,Tubize,2,1.2352941176470589,0.7647058823529411,0.29411764705882354,0.058823529411764705
SV Zulte-Waregem,KVC Westerlo,1,1.6603773584905661,1.021978021978022,0.42452830188679247,0.2087912087912088
KSV Cercle Brugge,Club Brugge KV,0,1.3076923076923077,1.7547169811320755,0.4175824175824176,0.4528301886792453
RAEC Mons,Standard de Liège,0,1.6170212765957446,1.3396226415094339,0.3404255319148936,0.37735849056603776
RSC Anderlecht,SV Zulte-Waregem,2,2.330188679245283,1.2264150943396226,0.7452830188679245,0.3113207547169811
KV Kortrijk,Sporting Lokeren,0,1.5377358490566038,1.2264150943396226,0.5283018867924528,0.3113207547169811
KRC Genk,FCV Dender EH,2,1.9339622641509433,1.3529411764705883,0.5754716981132075,0.23529411764705882
KVC Westerlo,KV Mechelen,0,1.3626373626373627,1.1603773584905661,0.38461538461538464,0.27358490566037735
KSV Roeselare,Royal Excel Mouscron,2,1.1612903225806452,0.9361702127659575,0.25806451612903225,0.1702127659574468
KAA Gent,Tubize,2,1.9541284403669725,0.7647058823529411,0.5779816513761468,0.058823529411764705
Sporting Charleroi,Beerschot AC,1,1.2417582417582418,0.8157894736842105,0.38461538461538464,0.13157894736842105
KV Mechelen,RSC Anderlecht,2,1.528301886792453,1.6981132075471699,0.4716981132075472,0.5377358490566038
Standard de Liège,KRC Genk,2,1.8773584905660377,1.349056603773585,0.6226415094339622,0.33962264150943394
Beerschot AC,RAEC Mons,2,1.4736842105263157,1.127659574468085,0.39473684210526316,0.19148936170212766
Sporting Lokeren,Sporting Charleroi,1,1.4056603773584906,0.967032967032967,0.3867924528301887,0.21978021978021978
FCV Dender EH,KSV Cercle Brugge,2,1.2352941176470589,1.032967032967033,0.29411764705882354,0.21978021978021978
Club Brugge KV,KAA Gent,0,2.2169811320754715,1.6238532110091743,0.7075471698113207,0.42201834862385323
SV Zulte-Waregem,KSV Roeselare,1,1.6603773584905661,0.8387096774193549,0.42452830188679247,0.12903225806451613
Royal Excel Mouscron,KV Kortrijk,2,1.4680851063829787,0.9811320754716981,0.3829787234042553,0.24528301886792453
Tubize,KVC Westerlo,0,1.2941176470588236,1.021978021978022,0.35294117647058826,0.2087912087912088
KV Kortrijk,Club Brugge KV,0,1.5377358490566038,1.7547169811320755,0.5283018867924528,0.4528301886792453
Sporting Charleroi,Standard de Liège,2,1.2417582417582418,1.3396226415094339,0.38461538461538464,0.37735849056603776
KAA Gent,SV Zulte-Waregem,2,1.9541284403669725,1.2264150943396226,0.5779816513761468,0.3113207547169811
RAEC Mons,Sporting Lokeren,0,1.6170212765957446,1.2264150943396226,0.3404255319148936,0.3113207547169811
KVC Westerlo,FCV Dender EH,2,1.3626373626373627,1.3529411764705883,0.38461538461538464,0.23529411764705882
KSV Roeselare,KV Mechelen,2,1.1612903225806452,1.1603773584905661,0.25806451612903225,0.27358490566037735
KSV Cercle Brugge,Royal Excel Mouscron,0,1.3076923076923077,0.9361702127659575,0.4175824175824176,0.1702127659574468
KRC Genk,Tubize,2,1.9339622641509433,0.7647058823529411,0.5754716981132075,0.058823529411764705
RSC Anderlecht,Beerschot AC,2,2.330188679245283,0.8157894736842105,0.7452830188679245,0.13157894736842105
Sporting Lokeren,RSC Anderlecht,1,1.4056603773584906,1.6981132075471699,0.3867924528301887,0.5377358490566038
Royal Excel Mouscron,RAEC Mons,2,1.4680851063829787,1.127659574468085,0.3829787234042553,0.19148936170212766
Club Brugge KV,Sporting Charleroi,2,2.2169811320754715,0.967032967032967,0.7075471698113207,0.21978021978021978
SV Zulte-Waregem,KSV Cercle Brugge,2,1.6603773584905661,1.032967032967033,0.42452830188679247,0.21978021978021978
FCV Dender EH,KAA Gent,1,1.2352941176470589,1.6238532110091743,0.29411764705882354,0.42201834862385323
Tubize,KSV Roeselare,0,1.2941176470588236,0.8387096774193549,0.35294117647058826,0.12903225806451613
KV Mechelen,KV Kortrijk,1,1.528301886792453,0.9811320754716981,0.4716981132075472,0.24528301886792453
KRC Genk,KVC Westerlo,0,1.9339622641509433,1.021978021978022,0.5754716981132075,0.2087912087912088
Standard de Liège,Beerschot AC,2,1.8773584905660377,0.8157894736842105,0.6226415094339622,0.13157894736842105
RSC Anderlecht,Club Brugge KV,2,2.330188679245283,1.7547169811320755,0.7452830188679245,0.4528301886792453
KSV Roeselare,KRC Genk,2,1.1612903225806452,1.349056603773585,0.25806451612903225,0.33962264150943394
Beerschot AC,SV Zulte-Waregem,0,1.4736842105263157,1.2264150943396226,0.39473684210526316,0.3113207547169811
Standard de Liège,Sporting Lokeren,2,1.8773584905660377,1.2264150943396226,0.6226415094339622,0.3113207547169811
KV Kortrijk,FCV Dender EH,0,1.5377358490566038,1.3529411764705883,0.5283018867924528,0.23529411764705882
RAEC Mons,KV Mechelen,0,1.6170212765957446,1.1603773584905661,0.3404255319148936,0.27358490566037735
Sporting Charleroi,Royal Excel Mouscron,2,1.2417582417582418,0.9361702127659575,0.38461538461538464,0.1702127659574468
KSV Cercle Brugge,Tubize,2,1.3076923076923077,0.7647058823529411,0.4175824175824176,0.058823529411764705
KAA Gent,KVC Westerlo,2,1.9541284403669725,1.021978021978022,0.5779816513761468,0.2087912087912088
RSC Anderlecht,KV Kortrijk,2,2.330188679245283,0.9811320754716981,0.7452830188679245,0.24528301886792453
KRC Genk,Sporting Lokeren,2,1.9339622641509433,1.2264150943396226,0.5754716981132075,0.3113207547169811
KSV Cercle Brugge,RAEC Mons,2,1.3076923076923077,1.127659574468085,0.4175824175824176,0.19148936170212766
KAA Gent,Sporting Charleroi,2,1.9541284403669725,0.967032967032967,0.5779816513761468,0.21978021978021978
FCV Dender EH,Royal Excel Mouscron,0,1.2352941176470589,0.9361702127659575,0.29411764705882354,0.1702127659574468
KV Mechelen,SV Zulte-Waregem,0,1.528301886792453,1.2264150943396226,0.4716981132075472,0.3113207547169811
KSV Roeselare,Standard de Liège,1,1.1612903225806452,1.3396226415094339,0.25806451612903225,0.37735849056603776
Tubize,Club Brugge KV,0,1.2941176470588236,1.7547169811320755,0.35294117647058826,0.4528301886792453
KVC Westerlo,Beerschot AC,2,1.3626373626373627,0.8157894736842105,0.38461538461538464,0.13157894736842105
KVC Westerlo,RSC Anderlecht,0,1.3626373626373627,1.6981132075471699,0.38461538461538464,0.5377358490566038
Royal Excel Mouscron,Standard de Liège,0,1.4680851063829787,1.3396226415094339,0.3829787234042553,0.37735849056603776
Club Brugge KV,RAEC Mons,2,2.2169811320754715,1.127659574468085,0.7075471698113207,0.19148936170212766
Tubize,Sporting Charleroi,2,1.2941176470588236,0.967032967032967,0.35294117647058826,0.21978021978021978
KV Mechelen,KSV Cercle Brugge,0,1.528301886792453,1.032967032967033,0.4716981132075472,0.21978021978021978
KRC Genk,KAA Gent,1,1.9339622641509433,1.6238532110091743,0.5754716981132075,0.42201834862385323
FCV Dender EH,KSV Roeselare,2,1.2352941176470589,0.8387096774193549,0.29411764705882354,0.12903225806451613
SV Zulte-Waregem,KV Kortrijk,2,1.6603773584905661,0.9811320754716981,0.42452830188679247,0.24528301886792453
Sporting Lokeren,Beerschot AC,2,1.4056603773584906,0.8157894736842105,0.3867924528301887,0.13157894736842105
Beerschot AC,Club Brugge KV,2,1.4736842105263157,1.7547169811320755,0.39473684210526316,0.4528301886792453
KSV Cercle Brugge,KRC Genk,0,1.3076923076923077,1.349056603773585,0.4175824175824176,0.33962264150943394
Sporting Charleroi,SV Zulte-Waregem,2,1.2417582417582418,1.2264150943396226,0.38461538461538464,0.3113207547169811
KSV Roeselare,KAA Gent,0,1.1612903225806452,1.6238532110091743,0.25806451612903225,0.42201834862385323
RSC Anderlecht,FCV Dender EH,2,2.330188679245283,1.3529411764705883,0.7452830188679245,0.23529411764705882
Standard de Liège,KV Mechelen,2,1.8773584905660377,1.1603773584905661,0.6226415094339622,0.27358490566037735
Sporting Lokeren,Royal Excel Mouscron,2,1.4056603773584906,0.9361702127659575,0.3867924528301887,0.1702127659574468
KV Kortrijk,Tubize,1,1.5377358490566038,0.7647058823529411,0.5283018867924528,0.058823529411764705
RAEC Mons,KVC Westerlo,0,1.6170212765957446,1.021978021978022,0.3404255319148936,0.2087912087912088
Tubize,RSC Anderlecht,1,1.2941176470588236,1.6981132075471699,0.35294117647058826,0.5377358490566038
SV Zulte-Waregem,Standard de Liège,1,1.6603773584905661,1.3396226415094339,0.42452830188679247,0.37735849056603776
FCV Dender EH,RAEC Mons,1,1.2352941176470589,1.127659574468085,0.29411764705882354,0.19148936170212766
KV Mechelen,Sporting Charleroi,2,1.528301886792453,0.967032967032967,0.4716981132075472,0.21978021978021978
KAA Gent,KSV Cercle Brugge,2,1.9541284403669725,1.032967032967033,0.5779816513761468,0.21978021978021978
Club Brugge KV,Sporting Lokeren,0,2.2169811320754715,1.2264150943396226,0.7075471698113207,0.3113207547169811
KVC Westerlo,KSV Roeselare,2,1.3626373626373627,0.8387096774193549,0.38461538461538464,0.12903225806451613
KRC Genk,KV Kortrijk,0,1.9339622641509433,0.9811320754716981,0.5754716981132075,0.24528301886792453
Royal Excel Mouscron,Beerschot AC,2,1.4680851063829787,0.8157894736842105,0.3829787234042553,0.13157894736842105
Standard de Liège,Club Brugge KV,2,1.8773584905660377,1.7547169811320755,0.6226415094339622,0.4528301886792453
Sporting Charleroi,KRC Genk,2,1.2417582417582418,1.349056603773585,0.38461538461538464,0.33962264150943394
Royal Excel Mouscron,SV Zulte-Waregem,0,1.4680851063829787,1.2264150943396226,0.3829787234042553,0.3113207547169811
KV Kortrijk,KAA Gent,0,1.5377358490566038,1.6238532110091743,0.5283018867924528,0.42201834862385323
Sporting Lokeren,FCV Dender EH,0,1.4056603773584906,1.3529411764705883,0.3867924528301887,0.23529411764705882
Beerschot AC,KV Mechelen,2,1.4736842105263157,1.1603773584905661,0.39473684210526316,0.27358490566037735
RSC Anderlecht,KSV Roeselare,2,2.330188679245283,0.8387096774193549,0.7452830188679245,0.12903225806451613
RAEC Mons,Tubize,1,1.6170212765957446,0.7647058823529411,0.3404255319148936,0.058823529411764705
KSV Cercle Brugge,KVC Westerlo,2,1.3076923076923077,1.021978021978022,0.4175824175824176,0.2087912087912088
KRC Genk,RSC Anderlecht,0,1.9339622641509433,1.6981132075471699,0.5754716981132075,0.5377358490566038
KAA Gent,Standard de Liège,0,1.9541284403669725,1.3396226415094339,0.5779816513761468,0.37735849056603776
SV Zulte-Waregem,RAEC Mons,2,1.6603773584905661,1.127659574468085,0.42452830188679247,0.19148936170212766
FCV Dender EH,Sporting Charleroi,0,1.2352941176470589,0.967032967032967,0.29411764705882354,0.21978021978021978
KSV Roeselare,KSV Cercle Brugge,0,1.1612903225806452,1.032967032967033,0.25806451612903225,0.21978021978021978
KV Mechelen,Sporting Lokeren,2,1.528301886792453,1.2264150943396226,0.4716981132075472,0.3113207547169811
Club Brugge KV,Royal Excel Mouscron,2,2.2169811320754715,0.9361702127659575,0.7075471698113207,0.1702127659574468
